Title,video,sample,start,end,initial_code,action,difficulty_with_existing_speech_tools,tag_primary,tag_secondary,how_primary,how_secondary,location,intent,adjusted_start,adjusted_end,duration,true_duration,true_duration_unlabelled,estimated_duration,insights_and_notes,,
UI Design Cinema Ticketing in Figma - UI Speed Design | Week - 12,https://www.youtube.com/watch?v=JkC4o1U5zgM&list=PLfrBp-7QhDqtmJ8oAjYhP6PLQqwDI0z1S&index=6,1,0.21,0.21,,[zoom] and [pan],VERY HARD,navigation,,complex gesture,,,,0,0,0,<1 second,1.00,0.5,combining zooming and panning is hard,,
,,,0.22,0.22,,[activate] [tool],EASY,activate tool,,cursor,,gui,activate text tool,1,1,0,<1 second,1.00,0.5,,,
,,,0.22,0.22,,[zoom],HARD,navigation,,gesture,,,,1,1,0,<1 second,1.00,0.5,,,
,,,0.23,0.23,,[create] [text object] at [new position] on [canvas],HARD,creating text,,cursor,,canvas,,2,2,0,<1 second,1.00,0.5,choosing position is hard,,
,,,0.23,0.26,,[update] [text object] using [keyboard],MEDIUM,update text object content,,keyboard,,canvas,,2,5,3,<4 seconds,4.00,3.5,,,
,,,0.26,0.27,,[click] [gui icon],EASY,update text object property,,cursor,,gui,update text alignment,5,6,1,<2 seconds,2.00,1.5,,,
,,,0.27,0.28,,[update] [gui input] to [value],MEDIUM,update text object property,,multi_step,,gui,update letter spacing,6,7,1,<2 seconds,2.00,1.5,,,
,,,0.29,0.29,,[drag] [design object] to [new position] using [cursor] and [alignment grids],VERY HARD,spatial positioning,,cursor,,,,8,8,0,<1 second,1.00,0.5,,,
,,,0.30,0.33,,[move] [selected] to [new position] using [keyboard] and [alignment grids],MEDIUM,spatial positioning,,keyboard,,,,9,12,3,<4 seconds,4.00,3.5,alignment grids only show up for conventional keyboard and cursor actions - not when accessibility tools are used,,
,,,0.33,0.34,,[update] [gui input] to [value],MEDIUM,update text object size,,cursor,,gui,update text size,12,13,1,<2 seconds,2.00,1.5,,,
,,,0.35,0.35,,[duplicate] [selected],MEDIUM,copy/paste,,keyboard,,,,14,14,0,<1 second,1.00,0.5,,,
,,,0.35,0.35,,[drag] [design object] to [new position] using [cursor],VERY HARD,spatial positioning,,cursor,,,,14,14,0,<1 second,1.00,0.5,,,
,,,0.36,0.36,,[multiselect] [design objects] on [canvas] using [cursor],VERY HARD,selection,,cursor,,,,15,15,0,<1 second,1.00,0.5,,,
,,,0.36,0.36,,[create] [autolayout],MEDIUM,create autolayout,,keyboard,,,,15,15,0,<1 second,1.00,0.5,,,
,,,0.37,0.37,,[update] [gui input] to [value],MEDIUM,update autolayout,,multi_step,,gui,update vertical autolayout spacing,16,16,0,<1 second,1.00,0.5,,,
,,,0.37,0.38,,[select] [design object] on [canvas] using [cursor],HARD,selection,,cursor,,canvas,,16,17,1,<2 seconds,2.00,1.5,,,
,,,0.38,0.38,,[select] [design object] on [canvas] using [cursor],HARD,selection,,cursor,,canvas,,17,17,0,<1 second,1.00,0.5,,,
,,,0.38,0.39,,[mistake/redundant],,,,,,,,17,18,1,<2 seconds,2.00,1.5,,,
,,,0.39,0.40,,[update] [gui input] to [value] ,MEDIUM,update text object size,,multi_step,,gui,update text size,18,19,1,<2 seconds,2.00,1.5,,,
,,,0.43,0.43,,[select] [design object] on [canvas] using [cursor],HARD,selection,,cursor,,canvas,,22,22,0,<1 second,1.00,0.5,,,
,,,0.44,0.46,,[scroll] [gui panel] + [expand] [gui menu] + [click gui icon],MEDIUM,update design object property,,multi_step,,gui,update colour style,23,25,2,<3 seconds,3.00,2.5,,,
,,,0.47,0.47,,[deep select] [design object] on [canvas] using [cursor],VERY HARD,selection,,multi_input,,,,26,26,0,<1 second,1.00,0.5,,,
,,,0.47,0.48,,[expand] [gui menu] + [click] [gui icon],MEDIUM,information revealing,,multi_step,,gui,update colour style,26,27,1,<2 seconds,2.00,1.5,,,
,,,0.48,0.48,,[zoom] to focus [design object],VERY HARD,navigation,,gesture,,,,27,27,0,<1 second,1.00,0.5,,,
,,,0.48,0.48,,[deep select] [text object] on [canvas] using [cursor],VERY HARD,selection,,cursor,,,,27,27,0,<1 second,1.00,0.5,,,
,,,0.49,0.55,,[update] [text object] with [keyboard],MEDIUM,update text object content,,keyboard,,,,28,34,6,<7 seconds,7.00,6.5,,,
,,,0.56,0.56,,[deep select] [text object] on [canvas] using [cursor],VERY HARD,selection,,cursor,,,,35,35,0,<1 second,1.00,0.5,,,
,,,0.56,0.58,,[update] [text object] with [keyboard],MEDIUM,update text object content,,keyboard,,,,35,37,2,<3 seconds,3.00,2.5,,,
,,,0.59,0.59,,[deselect],EASY,selection,,cursor,,,,38,38,0,<1 second,1.00,0.5,,,
,,,0.59,0.59,,[zoom] and [pan],VERY HARD,navigation,,complex gesture,,,,38,38,0,<1 second,1.00,0.5,,,
,,,1.00,1.00,,[select] [design object] on [canvas] using [cursor],HARD,selection,,cursor,,,,39,39,0,<1 second,1.00,0.5,,,
,,,1.00,1.01,,[move] [selected] to [new position] using [keyboard] and [alignment grids],MEDIUM,spatial positioning,,keyboard,,,,39,40,1,<2 seconds,2.00,1.5,,,
,,,1.01,1.01,,[deselect],EASY,selection,,cursor,,,,40,40,0,<1 second,1.00,0.5,,,
,,,1.02,1.02,,[expand] [gui menu],EASY,information revealing,,cursor,,gui,,41,41,0,<1 second,1.00,0.5,mistake/redundant,,
,,,1.02,1.02,,[activate] [tool],EASY,activate tool,,cursor,,gui,activate rectangle tool,41,41,0,<1 second,1.00,0.5,,,
,,,1.02,1.03,,[zoom] and [pan],VERY HARD,navigation,,complex gesture,,,,41,42,1,<2 seconds,2.00,1.5,,,
,,,1.03,1.03,,[drag] to [create] [design object] at [new position] on [canvas] using [cursor],VERY HARD,creating design object,,cursor,,,creating rectangle,42,42,0,<1 second,1.00,0.5,,,
,,,1.03,1.05,,[update] [gui input] to [value] ,MEDIUM,resize design object,,cursor,,gui,update design object size,42,44,2,<3 seconds,3.00,2.5,,,
,,,1.06,1.08,,[update] [gui input] to [value] ,MEDIUM,update design object property,,cursor,,gui,update corner radius,45,47,2,<3 seconds,3.00,2.5,,,
,,,1.08,1.09,,[drag] [design object] to [new position] using [cursor] and [alignment grids],VERY HARD,spatial positioning,,cursor,,,,47,48,1,<2 seconds,2.00,1.5,,,
,,,1.09,1.09,,[multiselect] [design objects] on [canvas] using [cursor],VERY HARD,selection,,cursor,,,,48,48,0,<1 second,1.00,0.5,,,
,,,1.10,1.10,,[create] [autolayout],MEDIUM,create autolayout,,keyboard,,,,49,49,0,<1 second,1.00,0.5,,,
,,,1.10,1.11,,[update] [gui input] to [value],MEDIUM,update autolayout,,multi_step,,gui,update autolayout layout,49,50,1,<2 seconds,2.00,1.5,,,
,,,1.11,1.11,,[deselect],EASY,selection,,cursor,,,,50,50,0,<1 second,1.00,0.5,,,
,,,1.11,1.11,,[select] [design object] on [canvas] using [cursor],HARD,selection,,cursor,,,,50,50,0,<1 second,1.00,0.5,,,
,,,1.13,1.14,,[update] [gui input] to [value],MEDIUM,resize design object,,cursor,,gui,update design object size,52,53,1,<2 seconds,2.00,1.5,,,
,,,1.15,1.15,,[deep select] [design object] on [canvas] using [cursor],VERY HARD,selection,,cursor,,,,54,54,0,<1 second,1.00,0.5,,,
,,,1.15,1.18,,[expand] [gui menu] + [scroll] [gui panel] + [click gui icon],MEDIUM,update design object property,,multi_step,,gui,update fill,54,57,3,<4 seconds,4.00,3.5,the hardest part of this action is that it is multistep and requires scrolling which is frustrating with voice,,
,,,1.19,1.20,,[zoom] and [pan],VERY HARD,navigation,,complex gesture,,,,58,59,1,<2 seconds,2.00,1.5,,,
,,,1.20,1.20,,[activate] [tool],EASY,activate tool,,cursor,,gui,activate rectangle tool,59,59,0,<1 second,1.00,0.5,,,
,,,1.21,1.21,,[create] [design object] at [new position] on [canvas],HARD,creating design object,,cursor,,,creating rectangle,60,60,0,<1 second,1.00,0.5,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,