Title,video,sample,start,end,initial_code,action,difficulty_with_existing_speech_tools,tag_primary,tag_secondary,how_primary,how_secondary,location,intent,adjusted_start,adjusted_end,duration,true_duration,true_duration_unlabelled,estimated_duration,insights_and_notes
"
ASMR UI Designing in FIGMA - STRIPE - No Talking | Silent",https://www.youtube.com/watch?v=OLb7Rqo1KVQ,2_1,0.10,0.13,zoom,[zoom],,navigation,,gesture,,,,0,3,3,<4 seconds,4,3.5,
,,,0.13,0.14,select rectangle dropdown menu with cursor,[expand] [gui menu],,selection,,cursor,,gui,,3,4,1,<2 seconds,2,1.5,
,,,0.14,0.15,click place image ,[click] [gui icon],,gui interaction,,cursor,,gui,,4,5,1,<2 seconds,2,1.5,
,,,0.15,0.20,select image to import,[click] [gui icon],,gui interaction,,cursor,,gui,,5,10,5,<6 seconds,6,5.5,
,,,0.20,0.23,drag and drop image to desired position whilst adjusting viewport zoom,[drag] to [create] [design object] at [new position] on [canvas] using [cursor],,creating design object,,cursor,,canvas,,10,13,3,<4 seconds,4,3.5,
,,,0.24,0.26,drag image to align top edge and left edge with existing frame,[drag] [design object] to [new position] using [cursor] and [ reference object],,spatial positioning,,cursor,,canvas,,14,16,2,<3 seconds,3,2.5,
,,,0.28,0.29,drag 'desktop' frame height to match image height,[drag] [design object] to [resize] using [reference object],,resize design object,,cursor,,canvas,,18,19,1,<2 seconds,2,1.5,
,,,0.30,0.31,drag 'desktop' frame width to match image height,[drag] [design object] to [resize] using [reference object],,resize design object,,cursor,,canvas,,20,21,1,<2 seconds,2,1.5,
,,,0.36,0.39,add a vertical page ruler guide to align with a feature in the image,[create] [alignment guide] using [reference object],,alignment guides,,cursor,,canvas,,26,29,3,<4 seconds,4,3.5,
,,,0.41,0.46,add a vertical page ruler guide to match distance from edge of 'desktop' frame,[create] [alignment guide] using [reference object],,alignment guides,,cursor,,canvas,,31,36,5,<6 seconds,6,5.5,
,,,0.47,0.47,drag image out of 'desktop' frame,[drag] [design object] to [new position] using [cursor],,spatial positioning,,cursor,,canvas,,37,37,0,<1 second,1,0.5,
,,,0.49,0.50,zoom out viewport so all elements are in frame,[zoom] to fit context in viewport,,navigation,,complex gesture,,,,39,40,1,<2 seconds,2,1.5,
,,,0.51,0.51,zoom in viewport to focus on image,[zoom] to focus [design object],,navigation,,complex gesture,,canvas,,41,41,0,<1 second,1,0.5,
,,,0.53,0.54,pan and adjust viewport to focus on 'desktop' frame,[pan] to focus [design object],,navigation,,complex gesture,,canvas,,43,44,1,<2 seconds,2,1.5,
,,,0.55,0.55,undo action,[undo],,undo,,keyboard,,,,45,45,0,<1 second,1,0.5,
,,,0.55,0.56,zoom to focus 'desktop' frame,[zoom] to focus [design object],,navigation,,complex gesture,,,,45,46,1,<2 seconds,2,1.5,
,,,0.58,0.58,select rectangle tool,[activate] [tool],,activate tool,,cursor,,gui,,48,48,0,<1 second,1,0.5,
,,,0.59,0.59,slight zoom,[zoom],,navigation,,gesture,,,,49,49,0,<1 second,1,0.5,
,,,0.59,1.01,drag and drop a rectangle from the top lefthand corner of the 'desktop' frame to around two thirds of the height of the 'desktop' frame and one quarter the width of the 'desktop' frame,[drag] [design object] to [new position] using [cursor],,spatial positioning,,cursor,,canvas,,49,51,2,<3 seconds,3,2.5,
,,,1.02,1.02,zoom out to focus 'desktop' frame,[zoom] to focus [design object],,navigation,,complex gesture,,,,52,52,0,<1 second,1,0.5,
,,,1.03,1.03,drag rectangle width to match 'desktop' frame width,[drag] [design object] to [resize] using [reference object],,resize design object,,cursor,,canvas,,53,53,0,<1 second,1,0.5,
,,,1.05,1.05,double click rectangle,[select] [design object] on [canvas] using [cursor],,selection,,cursor,,canvas,,55,55,0,<1 second,1,0.5,
,,,1.06,1.09,drag position of BR rectangle handle to ~two fifths of current height,[drag] [design object] to [resize] using [reference object],,resize design object,,cursor,,canvas,,56,59,3,<4 seconds,4,3.5,
,,,1.12,1.12,deselect 'rectangle 1',[deselect],,selection,,keyboard,,,,62,62,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,
,,,,,,,,,,,,,,-10,-10,0,<1 second,1,0.5,